player,latest_team,position,total_minutes,impact90,impact90_lo,impact90_hi,rapm_xg,rapm_xg_lo,rapm_xg_hi,finishing_per90,shots,rapm_goals,rapm_goals_lo,rapm_goals_hi,naive_gd90,naive_xgd90
Iliman Ndiaye,Everton,FWD,5308,0.0103,-0.1085,0.1441,0.0079,-0.1109,0.1417,0.0024,80.0,0.1199,0.0104,0.2281,0.4255,0.0289
El Hadji Malick Diouf,West Ham,DEF,2726,0.0102,-0.0865,0.1273,0.0113,-0.0855,0.1284,-0.0011,18.0,0.0672,-0.0372,0.1727,0.176,0.1188
Albert Sambi Lokonga,Luton,MID,1339,0.0101,-0.1228,0.139,0.0099,-0.123,0.1387,0.0002,8.0,-0.0403,-0.1314,0.0743,0.4188,0.9034
Lucas Paquetá,West Ham,MID,6647,0.0094,-0.1482,0.1395,0.0098,-0.1479,0.1399,-0.0004,106.0,0.0047,-0.1465,0.1422,0.0576,-0.0408
Lucas Pires,Burnley,MID,1406,0.0093,-0.0737,0.0948,0.0112,-0.0717,0.0967,-0.0019,16.0,-0.0014,-0.0764,0.0687,0.2481,-0.071
Kobbie Mainoo,Manchester United,MID,5294,0.0093,-0.1076,0.1299,0.0066,-0.1102,0.1272,0.0027,39.0,0.0949,-0.0278,0.2149,0.3451,-0.0007
Kenny Tete,Fulham,DEF,4503,0.0087,-0.09,0.1109,0.0109,-0.0879,0.1131,-0.0022,45.0,-0.0373,-0.1436,0.0629,-0.1999,-0.0993
Kieran Trippier,Newcastle United,DEF,5208,0.0082,-0.1156,0.1385,0.0082,-0.1156,0.1385,0.0,14.0,-0.0438,-0.1738,0.0942,-0.2488,0.0793
Daichi Kamada,Crystal Palace,MID,3478,0.008,-0.1127,0.1397,0.0122,-0.1085,0.1439,-0.0042,39.0,0.0634,-0.0498,0.1844,0.1442,0.2149
Kevin Danso,Tottenham,DEF,2352,0.0078,-0.0953,0.0943,0.0091,-0.094,0.0956,-0.0013,18.0,-0.0839,-0.196,0.0348,-0.6775,-0.2449
Brian Brobbey,Sunderland,FWD,1955,0.0073,-0.0979,0.1018,0.0075,-0.0977,0.1019,-0.0002,36.0,-0.0097,-0.0993,0.074,-0.3823,-0.0551
Cameron Burgess,Ipswich,DEF,1550,0.007,-0.0907,0.0947,0.0077,-0.09,0.0954,-0.0007,10.0,0.0261,-0.0761,0.1204,0.2833,-0.022
Sammie Szmodics,Ipswich,FWD,1027,0.0065,-0.0839,0.0985,0.0072,-0.0832,0.0992,-0.0007,21.0,0.0557,-0.0369,0.1412,0.837,0.0464
Niclas Füllkrug,West Ham,FWD,1198,0.0054,-0.103,0.1004,0.0057,-0.1027,0.1007,-0.0003,25.0,-0.0756,-0.1611,0.0134,-0.452,0.099
Joshua Zirkzee,Manchester United,FWD,1973,0.0049,-0.1243,0.1283,0.0136,-0.1156,0.137,-0.0087,53.0,-0.0112,-0.125,0.1057,-0.0861,0.0869
Jaka Bijol,Leeds,DEF,1910,0.004,-0.0991,0.1395,0.0036,-0.0995,0.1391,0.0004,15.0,0.0454,-0.049,0.1336,0.6206,0.1934
Auston Trusty,Sheffield United,DEF,2594,0.0032,-0.124,0.1128,0.0035,-0.1237,0.1131,-0.0003,8.0,-0.213,-0.3427,-0.0818,-0.8517,0.7283
James Tarkowski,Everton,DEF,9751,0.0029,-0.0812,0.1045,0.0049,-0.0792,0.1065,-0.0021,60.0,-0.0015,-0.0887,0.0877,-0.1477,0.0761
Mads Roerslev,Brentford,MID,3110,0.0024,-0.143,0.146,0.0026,-0.1428,0.1462,-0.0002,12.0,-0.0346,-0.1384,0.0727,-0.5339,-0.4182
Jacob Ramsey,Newcastle United,MID,3941,0.0023,-0.1531,0.1628,0.0039,-0.1515,0.1643,-0.0015,54.0,-0.0614,-0.186,0.0826,-0.2578,-0.1196
Jadon Sancho,Aston Villa,FWD,2706,0.002,-0.1369,0.157,0.0023,-0.1366,0.1572,-0.0003,34.0,0.0233,-0.0921,0.1491,0.0591,0.023
Raúl Jiménez,Fulham,FWD,6197,0.0019,-0.0985,0.1007,0.0139,-0.0865,0.1127,-0.012,210.0,0.1062,-0.0118,0.2102,0.2172,-0.009
Dan Ballard,Sunderland,DEF,2165,0.0018,-0.1097,0.1208,0.0036,-0.1078,0.1227,-0.0019,25.0,0.0193,-0.0917,0.1218,-0.138,0.1726
Dominic Solanke,Tottenham,FWD,6599,0.001,-0.1364,0.1221,0.0141,-0.1233,0.1352,-0.0131,189.0,-0.1063,-0.2359,0.0168,-0.5189,-0.2738
Nicolò Savona,Nottingham Forest,DEF,1045,0.0009,-0.1121,0.0973,0.0006,-0.1124,0.097,0.0003,5.0,-0.0328,-0.1358,0.075,-0.3919,-0.2909
Neco Williams,Nottingham Forest,DEF,7464,0.0009,-0.1026,0.1052,0.0067,-0.0968,0.1111,-0.0058,98.0,0.0221,-0.0957,0.1263,0.4545,0.1627
Matt Turner,Nottingham Forest,GK,1544,0.0006,-0.0652,0.0707,0.0006,-0.0652,0.0707,0.0,,0.0058,-0.0617,0.0704,-0.3876,-0.1721
Matthew Cash,Aston Villa,DEF,7313,0.0005,-0.1325,0.1371,0.0008,-0.1322,0.1374,-0.0003,76.0,0.1176,-0.0067,0.2394,0.6511,0.0715
Phil Foden,Manchester City,MID,6786,0.0003,-0.0983,0.1167,-0.025,-0.1236,0.0914,0.0253,214.0,0.1314,0.0349,0.2406,0.013,-0.2721
Ben Mee,Brentford,DEF,1482,0.0001,-0.081,0.0885,-0.0002,-0.0814,0.0881,0.0003,10.0,-0.1007,-0.1894,0.0003,-1.0937,-0.5211
Andrey Santos,Chelsea,MID,1228,0.0001,-0.1229,0.1258,0.0014,-0.1215,0.1272,-0.0014,13.0,0.0099,-0.0859,0.1066,-0.2373,0.0213
Martín Zubimendi,Arsenal,MID,3052,-0.0001,-0.1256,0.1106,-0.002,-0.1276,0.1087,0.0019,27.0,0.0151,-0.0637,0.1063,-0.3202,-0.1809
Evan Ferguson,West Ham,FWD,1723,-0.0002,-0.114,0.1151,-0.0045,-0.1182,0.1109,0.0042,45.0,-0.1207,-0.238,0.0138,-0.6184,-0.1575
Ezri Konsa Ngoyo,Aston Villa,DEF,9128,-0.0009,-0.0946,0.0958,-0.0002,-0.0939,0.0965,-0.0007,41.0,0.0082,-0.0885,0.108,-0.0503,-0.159
Axel Tuanzebe,Burnley,DEF,2959,-0.001,-0.1021,0.0983,-0.0011,-0.1021,0.0983,0.0,6.0,-0.0005,-0.1076,0.0829,0.2506,0.1713
Granit Xhaka,Sunderland,MID,2924,-0.002,-0.0804,0.0702,-0.0023,-0.0807,0.0699,0.0003,21.0,0.0847,0.002,0.1563,0.6177,0.2148
Jordan Pickford,Everton,GK,10340,-0.002,-0.0346,0.0382,-0.002,-0.0346,0.0382,0.0,,0.0136,-0.0337,0.0577,0.0,0.0
Rico Lewis,Manchester City,DEF,3117,-0.0023,-0.1229,0.1546,-0.0025,-0.1231,0.1544,0.0002,18.0,0.0141,-0.0854,0.1479,-0.2814,-0.1703
Ibrahim Sangare,Nottingham Forest,MID,3771,-0.0023,-0.1095,0.1088,-0.002,-0.1091,0.1091,-0.0004,25.0,0.0088,-0.1246,0.1484,0.2359,-0.0634
Vitinho,Burnley,DEF,2338,-0.0033,-0.0797,0.0808,-0.0003,-0.0767,0.0837,-0.003,25.0,0.0863,-0.0073,0.1668,0.8203,0.5665
Elliot Anderson,Nottingham Forest,MID,7144,-0.0036,-0.1453,0.1128,-0.0015,-0.1432,0.1149,-0.0021,103.0,0.1177,-0.0323,0.2393,0.5146,-0.0644
Dango Ouattara,Brentford,FWD,5557,-0.0037,-0.13,0.1301,0.0125,-0.1138,0.1464,-0.0162,148.0,0.0743,-0.0709,0.1909,0.2467,0.0392
Enzo Le Fée,Sunderland,MID,2978,-0.004,-0.0606,0.0474,-0.0036,-0.0602,0.0478,-0.0004,36.0,0.033,-0.0374,0.0911,-0.6199,-0.2966
Sasa Lukic,Fulham,MID,5248,-0.0046,-0.1058,0.0994,-0.0007,-0.102,0.1033,-0.0039,49.0,-0.0216,-0.1667,0.0981,-0.276,-0.1267
Miguel Almirón,Newcastle United,FWD,2119,-0.0056,-0.1513,0.1203,0.0003,-0.1454,0.1262,-0.0059,47.0,-0.0337,-0.1651,0.0915,-0.2994,0.0216
Bernd Leno,Fulham,GK,10341,-0.0058,-0.0453,0.0388,-0.0058,-0.0453,0.0388,0.0,,0.0052,-0.0421,0.0587,0.0,0.0
Aaron Hickey,Brentford,DEF,1426,-0.0076,-0.0906,0.0736,-0.0063,-0.0893,0.0749,-0.0013,13.0,-0.0289,-0.1139,0.056,-0.1035,0.0183
Mathis Cherki,Manchester City,MID,1802,-0.0083,-0.1204,0.1135,-0.0059,-0.1181,0.1158,-0.0023,55.0,0.0498,-0.0384,0.1444,-0.0008,-0.0434
Maxime Estève,Burnley,DEF,4293,-0.0085,-0.118,0.0739,-0.0079,-0.1173,0.0745,-0.0006,17.0,-0.0701,-0.1609,0.0195,0.0034,-0.0874
Conor Coady,Leicester,DEF,1727,-0.0089,-0.1164,0.0849,-0.0089,-0.1164,0.0849,0.0,2.0,-0.0439,-0.1337,0.0411,-0.2599,-0.1899
Jeremie Frimpong,Liverpool,DEF,1035,-0.0091,-0.0937,0.0805,-0.0082,-0.0927,0.0814,-0.0009,10.0,-0.0088,-0.0809,0.064,-0.6772,-0.5278
Mateus Fernandes,West Ham,MID,6037,-0.0094,-0.1412,0.1182,-0.0069,-0.1386,0.1207,-0.0025,70.0,0.0524,-0.0675,0.1619,1.1732,0.5753
Ryan Christie,Bournemouth,MID,6103,-0.0095,-0.1682,0.1644,-0.0055,-0.1642,0.1683,-0.004,101.0,0.0247,-0.0944,0.1596,-0.1356,-0.2076
Adam Lallana,Southampton,MID,1228,-0.01,-0.1141,0.0989,-0.0085,-0.1125,0.1005,-0.0016,14.0,-0.0086,-0.1056,0.1007,-0.1164,0.014
Jordan Henderson,Brentford,MID,1950,-0.0102,-0.1119,0.1145,-0.0104,-0.1121,0.1143,0.0002,6.0,-0.016,-0.0953,0.0768,0.0816,0.1711
Malick Thiaw,Newcastle United,DEF,2995,-0.0102,-0.1116,0.0878,-0.0087,-0.1101,0.0893,-0.0015,28.0,-0.0614,-0.1531,0.0229,-0.6836,-0.4942
Rayan Ait Nouri,Manchester City,MID,6581,-0.0105,-0.1272,0.0929,-0.009,-0.1257,0.0944,-0.0015,68.0,0.0296,-0.098,0.1678,0.3901,0.1761
Joe Rodon,Leeds,DEF,2978,-0.0109,-0.0948,0.0696,-0.011,-0.0949,0.0695,0.0001,18.0,-0.0355,-0.1109,0.0409,-0.8755,-0.4839
Issa Kabore,Luton,MID,1762,-0.0116,-0.1206,0.1018,-0.0114,-0.1204,0.102,-0.0002,6.0,-0.0166,-0.0893,0.0553,0.0897,0.069
Mathias Jensen,Brentford,MID,5405,-0.0116,-0.1408,0.1101,-0.0172,-0.1464,0.1045,0.0056,49.0,-0.0272,-0.1496,0.0926,-0.0547,-0.1199
Jacob Bruun Larsen,Burnley,MID,2297,-0.012,-0.1414,0.1048,-0.0099,-0.1393,0.1069,-0.0021,61.0,-0.0941,-0.2192,-0.0016,0.0967,0.3178
Cheick Oumar Doucoure,Crystal Palace,MID,1379,-0.0124,-0.0856,0.073,-0.0112,-0.0845,0.0742,-0.0012,13.0,-0.0034,-0.0841,0.0804,-0.1155,-0.1707
Kalvin Phillips,Ipswich,MID,1617,-0.0126,-0.1009,0.0952,-0.0111,-0.0994,0.0967,-0.0015,16.0,-0.0629,-0.1741,0.056,-0.1433,0.083
Anton Stach,Leeds,MID,2409,-0.0129,-0.0999,0.0818,-0.0213,-0.1082,0.0735,0.0084,55.0,0.0104,-0.0727,0.0999,-0.0137,-0.3877
Karl Darlow,Leeds,GK,1996,-0.0131,-0.1032,0.0804,-0.0131,-0.1032,0.0804,0.0,,-0.0121,-0.0938,0.0622,0.3266,0.2355
Mark Flekken,Brentford,GK,6621,-0.0136,-0.0877,0.0547,-0.0136,-0.0877,0.0547,0.0,,0.008,-0.0753,0.08,-0.0347,-0.0374
George Baldock,Sheffield United,DEF,972,-0.0136,-0.1256,0.0873,-0.0136,-0.1256,0.0873,-0.0,1.0,0.0487,-0.0251,0.1088,1.2195,-0.0815
Jack Hinshelwood,Brighton,MID,4542,-0.0138,-0.1603,0.1331,-0.0162,-0.1627,0.1307,0.0024,69.0,0.0015,-0.1236,0.1314,0.0482,0.016
Joelinton,Newcastle United,MID,5718,-0.0144,-0.1455,0.1431,-0.0125,-0.1437,0.1449,-0.0018,96.0,0.0935,-0.0346,0.222,0.2035,-0.1607
Rodrigo Muniz,Fulham,FWD,3558,-0.0157,-0.1134,0.0989,-0.0092,-0.107,0.1054,-0.0064,144.0,-0.0093,-0.1218,0.0988,0.0941,0.1385
Hjalmar Ekdal,Burnley,DEF,1997,-0.0161,-0.1105,0.0593,-0.0157,-0.1101,0.0597,-0.0004,8.0,-0.0965,-0.1876,0.0003,-0.2901,0.0382
Michail Antonio,West Ham,FWD,2642,-0.0171,-0.1341,0.1175,-0.0143,-0.1312,0.1203,-0.0028,49.0,0.0485,-0.0938,0.1835,0.2072,-0.1994
Raheem Sterling,Arsenal,FWD,2490,-0.0174,-0.1363,0.1085,-0.0143,-0.1332,0.1115,-0.0031,61.0,-0.0244,-0.1445,0.1144,-0.2028,-0.0591
Djordje Petrovic,Bournemouth,GK,5451,-0.0177,-0.0999,0.087,-0.0177,-0.0999,0.087,0.0,,0.0633,-0.0427,0.1617,0.178,0.0643
Altay Bayindir,Manchester United,GK,903,-0.0183,-0.0868,0.0456,-0.0183,-0.0868,0.0456,0.0,,-0.0747,-0.1466,-0.0041,-0.95,0.1556
Sander Berge,Fulham,MID,8254,-0.0185,-0.1122,0.0826,-0.0166,-0.1103,0.0844,-0.0019,42.0,-0.0087,-0.1129,0.0828,0.0378,0.2125
Jorge Cuenca,Fulham,DEF,1307,-0.0192,-0.0898,0.0472,-0.0191,-0.0898,0.0472,-0.0,2.0,-0.0118,-0.0752,0.0444,-0.2945,-0.4491
Adam Smith,Bournemouth,DEF,4919,-0.0193,-0.1528,0.1284,-0.0192,-0.1527,0.1285,-0.0001,5.0,0.0865,-0.0312,0.2228,0.4386,0.3115
Ryan Manning,Southampton,DEF,1500,-0.0194,-0.1271,0.0927,-0.019,-0.1267,0.0931,-0.0004,8.0,-0.0855,-0.1931,0.0221,0.0116,0.1166
Ameen Al Dakhil,Burnley,DEF,1064,-0.0196,-0.0867,0.0575,-0.0194,-0.0864,0.0578,-0.0003,8.0,-0.0632,-0.1202,0.0035,-0.5585,0.0795
Pedro Porro,Tottenham,DEF,8594,-0.0196,-0.1471,0.093,-0.0195,-0.1469,0.0932,-0.0002,124.0,0.0956,-0.0303,0.1984,0.9577,0.4508
Lorenz Assignon,Burnley,DEF,1258,-0.0199,-0.089,0.0563,-0.0208,-0.0899,0.0554,0.0009,9.0,-0.0429,-0.1218,0.0435,-0.1315,0.174
Rasmus Højlund,Manchester United,FWD,4260,-0.0205,-0.1503,0.0931,-0.0191,-0.1489,0.0945,-0.0013,70.0,-0.1033,-0.2196,0.017,-0.4779,-0.3798
Alex Palmer,Ipswich,GK,1182,-0.0214,-0.0927,0.0462,-0.0214,-0.0927,0.0462,0.0,,-0.0243,-0.1055,0.0561,-0.1421,-0.0644
Emerson,West Ham,DEF,5360,-0.0219,-0.1226,0.0755,-0.0214,-0.122,0.076,-0.0005,35.0,0.0276,-0.0882,0.1461,0.1889,-0.0685
Sven Botman,Newcastle United,DEF,3671,-0.0221,-0.1551,0.1384,-0.0218,-0.1548,0.1387,-0.0003,30.0,0.0225,-0.1201,0.1625,-0.3005,-0.4439
